Rent50_2,Rent50_0,Rent50_1,Rent50_3,Rent50_4,county,State,countyname,CBSASub,Areaname,county_town_name,pop2010,state_alpha
794,548,587,1028,1061,49,55,Iowa County,METRO31540N55049,"Iowa County, WI HUD Metro FMR Area",Iowa County,23687,WI
637,468,471,911,987,33,37,Caswell County,NCNTY37033N37033,"Caswell County, NC",Caswell County,23719,NC
691,411,511,988,991,225,48,Houston County,NCNTY48225N48225,"Houston County, TX",Houston County,23732,TX
762,488,603,1005,1333,790,51,Staunton city,NCNTY51015N51015,"Augusta County-Staunton city-Waynesboro city, VA HUD Nonmetro FMR Area",Staunton city,23746,VA
614,417,463,798,932,105,39,Meigs County,NCNTY39105N39105,"Meigs County, OH",Meigs County,23770,OH
854,588,716,1064,1225,121,22,West Baton Rouge Parish,METRO12940M12940,"Baton Rouge, LA HUD Metro FMR Area",West Baton Rouge Parish,23788,LA
1261,843,940,1649,1732,1,25,Barnstable County,METRO12700M12700,"Barnstable Town, MA MSA",Yarmouth town,23793,MA
641,454,474,818,1135,365,48,Panola County,NCNTY48365N48365,"Panola County, TX",Panola County,23796,TX
573,448,453,714,1015,109,54,Wyoming County,NCNTY54109N54109,"Wyoming County, WV",Wyoming County,23796,WV
716,488,604,978,1003,79,28,Leake County,NCNTY28079N28079,"Leake County, MS",Leake County,23805,MS
565,421,424,800,1001,183,21,Ohio County,NCNTY21183N21183,"Ohio County, KY",Ohio County,23842,KY
